"codeplas","Al","CO3","Ca","Cl","EGV25_veld","EGV_calc","EGV_labo","EGV_tit","Fe","HCO3_OEP","K","Mg","Mn","NH4","NH4_N","NO2","NO2_N","NO3","NO3_N","NPOC","N_anorg","Na","O2_veld","O2verz","OH","PO4","PO4_P","S","SD_veld","SO4","SO4_S","Si","TN","TP","T_anion","T_kation","T_veld","WD_veld","ZS_105","ZS_550","absorptie_440","alkaliniteit","chl_a","faeo","pH_labo","pH_veld","sal_veld","verschil_EGV_abs","verschil_EGV_proc","verschil_IC_abs","verschil_IC_proc"
"ANTKAL0289",0.33,0.6,0.7675,8.5575,49.325,47.545,47.875,47.875,0.455,2.5,3.385,0.545,0.04,0.0625,0.048532380625,0.01,0.00304414,0.1775,0.040096683875,21.155,0.0916732045,4.4575,9.2425,102.225,0.18,0.05,0.016307893,0.7875,0.5325,2.1575,0.7201268355,0.175,1.295,0.0333,0.394875,0.417275,20.4,0.8425,0.0125,0.0125,0.054,0.0409701735,7.9,3.575,5.145,5.0575,0,0.57,1.195,0.0225,3.325
"ANTKAL0306",0.27,0.6,0.733333333333333,5.00666666666667,37.8666666666667,34.73,36.6333333333333,36.6333333333333,0.336666666666667,2.5,3.00333333333333,0.576666666666667,0.07,0.05,0.0388259045,0.01,0.00304414,0.09,0.020330713,27.9033333333333,0.0622007575,2.7,9.55,103.9,0.18,0.05,0.016307893,0.78,0.52,1.24,0.413885180333333,0.15,1.55333333333333,0.0268333333333333,0.2996,0.325366666666667,19.1,0.81,0.0125,0.0125,0.0796666666666667,0.0409701735,8.23333333333333,2.5,5.02,4.986,0,1.90333333333333,5.37666666666667,0.0256666666666667,4.4
"ANTKAL0309",0.306666666666667,0.6,0.903333333333333,6.08333333333333,47.3666666666667,45.1733333333333,46.7333333333333,46.7333333333333,0.246666666666667,2.5,0.873333333333333,0.573333333333333,0.03,0.05,0.0388259045,0.01,0.00304414,0.0666666666666667,0.0150597873333333,15.6366666666667,0.0569298318333333,4.01333333333333,10.59,111.733333333333,0.18,0.05,0.016307893,1.68,0.803333333333333,4.48,1.495327103,0.33,0.783333333333333,0.015,0.323933333333333,0.3482,17.6,0.803333333333333,0.0125,0.0125,0.0279333333333333,0.0409701735,5.93333333333333,2.5,4.58666666666667,4.46533333333333,0,1.56,3.2,0.0243333333333333,4.73333333333333
"ANTKAL0330",0.204,0.6,0.898,8.864,58.36,58.9,57.68,57.68,1.096,2.5,1.2,0.602,0.044,0.086,0.0667805558,0.01,0.00304414,0.18,0.0406614259,20.108,0.1104861217,4.942,9.288,104.02,0.18,0.05,0.016307893,1.51,0.282,4.124,1.3765020028,0.3,1.444,0.015,0.41676,0.43712,21.04,0.378,0.0268,0.0125,0.03292,0.0409701735,11.26,11.26,4.51,4.3866,0,4.696,9.106,0.0256,3.16
"ANTKAL0344",0.16,0.6,0.893333333333333,6.84,53.8666666666667,48.1433333333333,50.8666666666667,50.8666666666667,0.913333333333333,2.5,0.86,0.633333333333333,0.0266666666666667,0.05,0.0388259045,0.01,0.00304414,0.0666666666666667,0.0150597873333333,21.56,0.0569298318333333,4.28666666666667,10.1566666666667,105,0.18,0.05,0.016307893,1.55666666666667,0.34,4.05,1.351802403,0.646666666666667,1.08,0.015,0.359666666666667,0.378833333333333,17,0.34,0.0125,0.0125,0.0403333333333333,0.0409701735,4.46666666666667,2.5,4.59666666666667,4.359,0,2.72333333333333,6.10666666666667,0.0193333333333333,3.4
"ANTKAL0350",0.08,0.6,0.746666666666667,4.97333333333333,41.2666666666667,35.4666666666667,40.8666666666667,40.8666666666667,0.323333333333333,2.5,1.05333333333333,0.52,0.0366666666666667,0.05,0.0388259045,0.01,0.00304414,0.0666666666666667,0.0150597873333333,18.44,0.0569298318333333,2.75,10.48,110.5,0.18,0.05,0.016307893,1.06666666666667,0.375,2.28333333333333,0.762127280666667,0.246666666666667,1.08,0.015,0.269566666666667,0.2691,17.9,0.44,0.0125,0.0125,0.0313666666666667,0.0409701735,4.13333333333333,6.56666666666667,4.52,4.42733333333333,0,5.4,14.2833333333333,0.019,4.06666666666667
"ANTKAL0356",0.282,0.6,1.504,9.734,61.72,59.658,62.5,62.5,0.906,2.5,3.234,1.314,0.054,0.15,0.1164777139,0.01,0.00304414,0.48,0.1084304689,43.342,0.2279523228,5.624,7.554,81.06,0.18,0.166,0.0541422048,1.252,0.374,1.442,0.4813084115,0.19,2.934,0.15172,0.53674,0.58562,18.28,0.462,0.0234,0.0125,0.13402,0.0409701735,27.82,30.74,5.024,4.9454,0,2.842,4.876,0.0488,4.32
"ANTKAL0383",0.298,0.6,0.97,9.358,52.4,53.17,52.86,52.86,1.58,2.5,2.064,0.606,0.05,0.062,0.0481441216,0.01,0.00304414,0.208,0.0469865367,31.512,0.0981747983,5.044,9.284,103.34,0.18,0.05,0.016307893,0.81,0.32,1.028,0.3431241655,0.51,2.162,0.04946,0.40908,0.47446,19.7,0.49,0.0152,0.0125,0.10212,0.0409701735,95.4,32.96,4.676,4.4828,0,1.09,2.192,0.0656,7.8
"ANTKAL0384",0.108,0.6,1.018,5.688,41.56,36.374,36.7,36.15,0.822,2.5,1.102,0.59,0.06,0.062,0.0481441216,0.01,0.00304414,0.68,0.153609831,23.194,0.2047980926,3.374,8.114,90.16,0.18,0.05,0.016307893,0.5,0.864,0.56,0.1869158878,0.268,2.178,0.03318,0.28796,0.33258,19.86,1.218,0.0125,0.0125,0.06486,0.0409701735,17.08,10.18,4.91,5.1782,0,2.126,5.892,0.0446,6.94
"ANTKAL0385",0.18,0.6,1.1125,8.1975,58.225,61.6975,57.175,57.175,2.08,2.5,2.145,0.715,0.04,0.3475,0.26984003725,0.01,0.00304414,0.265,0.05986265475,22.67,0.332746832,4.535,8.9975,97.525,0.18,0.05,0.016307893,1.9425,0.32,5.74,1.9158878505,0.4,1.7475,0.030275,0.453375,0.5036,18.7,0.4925,0.021,0.0125,0.034125,0.0409701735,5.45,6.15,4.6825,4.70925,0,5.9725,12.2275,0.05475,6.675
"ANTKAL0386a",0.176,0.6,1.742,8.008,56.82,54.462,54.55,54.56,0.284,2.5,1.378,0.738,0.042,0.06,0.0465910854,0.01,0.00304414,0.518,0.1170145476,9.22,0.166649773,4.85,9.222,99.54,0.18,0.05,0.016307893,2.516,0.552,7.254,2.4212283044,0.19,0.89,0.01814,0.42882,0.43438,19.16,0.568,0.0125,0.0125,0.02066,0.0409701735,22.52,6.18,4.928,4.7234,0,2.172,3.924,0.0108,1.42
"ANTKAL0386b",0.216,0.6,1.158,8.568,57.54,56.07,55.9,55.9,0.524,2.5,1.306,0.626,0.044,0.112,0.0869700262,0.01,0.00304414,0.184,0.0415650131,15.382,0.1315791793,5.054,9.508,105.6,0.18,0.05,0.016307893,1.772,0.38,5.08,1.6955941256,0.19,1.124,0.01974,0.41136,0.43086,20.58,0.436,0.0125,0.0125,0.03572,0.0409701735,3.36,3.92,4.6,4.4618,0,2.778,4.648,0.0248,3.48
"ANTKAL0387",0.162,0.6,0.728,7.732,56.34,54.582,56.94,56.94,0.244,2.5,1.178,0.616,0.042,0.05,0.0388259045,0.01,0.00304414,0.598,0.1350862926,10.912,0.1769563371,4.792,9.182,97.48,0.18,0.05,0.016307893,1.766,0.616,5.278,1.7616822428,0.19,0.984,0.02116,0.37916,0.38494,18.12,0.696,0.0125,0.0125,0.02704,0.0409701735,5.32,4.16,4.534,4.3928,0,2.358,4.416,0.0114,1.88
"ANTKAL0478",0.118,0.6,0.832,3.3,31.7,31.934,29.76,29.76,1.378,2.5,1.096,0.614,0.044,0.352,0.2733343687,0.01,0.00304414,0.17,0.0384024576,27.828,0.3147809663,2.294,6.888,75.08,0.18,0.072,0.023483366,0.714,0.252,1.53,0.510680908,0.452,2.058,0.0565,0.2578,0.31326,20.38,0.414,0.0262,0.0125,0.05728,0.0409701735,27.32,40.56,4.992,4.8344,0,2.738,10.214,0.0556,10.02
"ANTKAL0482",0.543333333333333,0.6,1.15666666666667,6.49666666666667,62.3,57.3366666666667,61.8333333333333,61.8333333333333,1.25,2.5,1.96333333333333,0.59,0.0533333333333333,0.116666666666667,0.0905937773333333,0.01,0.00304414,0.386666666666667,0.0873467666666667,38.0933333333333,0.180984684,3.73666666666667,6.97333333333333,73,0.18,0.05,0.016307893,1.24,0.34,2.67666666666667,0.89341344,0.97,1.79,0.0409666666666667,0.3891,0.4607,17.2,0.616666666666667,0.0125,0.0125,0.136166666666667,0.0409701735,7.23333333333333,3.5,4.45333333333333,4.25,0,4.49666666666667,8.02333333333333,0.0716666666666667,8.56666666666667
"ANTKAL0483",0.43,0.6,0.82,5.01333333333333,47.3666666666667,44.4233333333333,46,46,1.45333333333333,2.5,1.08,0.43,0.0433333333333333,0.126666666666667,0.0983589585,0.01,0.00304414,0.0833333333333333,0.0188247343333333,34.3333333333333,0.120227832833333,2.87333333333333,6.50333333333333,68.6666666666667,0.18,0.0666666666666667,0.0217438573333333,0.5,0.306666666666667,0.953333333333333,0.318202047333333,0.676666666666667,1.54,0.0602666666666667,0.283166666666667,0.3629,17.2333333333333,0.536666666666667,0.0125,0.0125,0.1379,0.0409701735,5.86666666666667,3.56666666666667,4.38,4.28566666666667,0,1.58333333333333,3.02,0.0796666666666667,12.3666666666667
"ANTKAL0492",0.04,0.6,0.334,4.336,35.1,31.376,32.9333333333333,35.55,0.102,2.5,0.346,0.398,0.048,0.05,0.0388259045,0.01,0.00304414,0.28,0.0632511068,15.734,0.1051211513,2.422,9.958,108.52,0.18,0.05,0.016307893,0.5,0.572,0.918,0.306408545,0.19,0.942,0.015,0.20664,0.20604,19.6,0.572,0.0125,0.0125,0.02014,0.0409701735,2.5,4.04,4.52,4.3406,0,2.604,7.996,0.0078,1.88
